Date,Cases,Cases,Cases
2020-01-22 00:00:00+00:00,0,0,2
2020-01-23 00:00:00+00:00,0,0,2
2020-01-24 00:00:00+00:00,0,0,2
2020-01-25 00:00:00+00:00,0,0,2
2020-01-26 00:00:00+00:00,0,0,4
2020-01-27 00:00:00+00:00,0,0,4
2020-01-28 00:00:00+00:00,0,0,7
2020-01-29 00:00:00+00:00,0,0,7
2020-01-30 00:00:00+00:00,0,0,11
2020-01-31 00:00:00+00:00,0,0,15
2020-02-01 00:00:00+00:00,1,0,20
2020-02-02 00:00:00+00:00,1,0,20
2020-02-03 00:00:00+00:00,1,0,20
2020-02-04 00:00:00+00:00,1,0,22
2020-02-05 00:00:00+00:00,1,0,23
2020-02-06 00:00:00+00:00,1,0,23
2020-02-07 00:00:00+00:00,1,0,23
2020-02-08 00:00:00+00:00,1,0,24
2020-02-09 00:00:00+00:00,2,0,24
2020-02-10 00:00:00+00:00,2,0,26
2020-02-11 00:00:00+00:00,2,0,27
2020-02-12 00:00:00+00:00,2,0,28
2020-02-13 00:00:00+00:00,2,0,33
2020-02-14 00:00:00+00:00,2,0,43
2020-02-15 00:00:00+00:00,2,0,54
2020-02-16 00:00:00+00:00,2,0,60
2020-02-17 00:00:00+00:00,2,0,67
2020-02-18 00:00:00+00:00,2,0,79
2020-02-19 00:00:00+00:00,2,0,85
2020-02-20 00:00:00+00:00,2,0,95
2020-02-21 00:00:00+00:00,2,0,112
2020-02-22 00:00:00+00:00,2,0,137
2020-02-23 00:00:00+00:00,2,0,149
2020-02-24 00:00:00+00:00,2,0,160
2020-02-25 00:00:00+00:00,6,0,173
2020-02-26 00:00:00+00:00,13,0,192
2020-02-27 00:00:00+00:00,15,0,218
2020-02-28 00:00:00+00:00,32,0,236
2020-02-29 00:00:00+00:00,45,0,245
2020-03-01 00:00:00+00:00,84,0,259
2020-03-02 00:00:00+00:00,120,0,278
2020-03-03 00:00:00+00:00,165,0,298
2020-03-04 00:00:00+00:00,222,0,333
2020-03-05 00:00:00+00:00,259,0,365
2020-03-06 00:00:00+00:00,400,1,420
2020-03-07 00:00:00+00:00,500,1,466
2020-03-08 00:00:00+00:00,673,1,499
2020-03-09 00:00:00+00:00,1073,1,527
2020-03-10 00:00:00+00:00,1695,3,585
2020-03-11 00:00:00+00:00,2277,9,640
2020-03-12 00:00:00+00:00,2277,9,696
2020-03-13 00:00:00+00:00,5232,13,733
2020-03-14 00:00:00+00:00,6391,22,795
2020-03-15 00:00:00+00:00,7798,34,826
2020-03-16 00:00:00+00:00,9942,57,843
2020-03-17 00:00:00+00:00,11748,75,893
2020-03-18 00:00:00+00:00,13910,102,928
2020-03-19 00:00:00+00:00,17963,108,968
2020-03-20 00:00:00+00:00,20410,158,1022
2020-03-21 00:00:00+00:00,25374,196,1059
2020-03-22 00:00:00+00:00,28768,231,1104
2020-03-23 00:00:00+00:00,35136,277,1144
2020-03-24 00:00:00+00:00,39885,378,1217
2020-03-25 00:00:00+00:00,49515,470,1314
2020-03-26 00:00:00+00:00,57786,491,1416
2020-03-27 00:00:00+00:00,65719,539,1530
2020-03-28 00:00:00+00:00,73235,608,1728
2020-03-29 00:00:00+00:00,80110,702,1907
2020-03-30 00:00:00+00:00,87956,798,2001
2020-03-31 00:00:00+00:00,95923,906,2255
2020-04-01 00:00:00+00:00,104118,1065,2535
2020-04-02 00:00:00+00:00,112065,1161,2818
2020-04-03 00:00:00+00:00,119199,1267,3154
2020-04-04 00:00:00+00:00,126168,1406,3525
2020-04-05 00:00:00+00:00,131646,1485,3876
2020-04-06 00:00:00+00:00,136675,1579,4110
2020-04-07 00:00:00+00:00,141942,1780,4485
2020-04-08 00:00:00+00:00,148220,2054,5020
2020-04-09 00:00:00+00:00,153222,2223,5614
2020-04-10 00:00:00+00:00,158273,2473,6250
2020-04-11 00:00:00+00:00,163027,2709,6951
2020-04-12 00:00:00+00:00,166831,2776,7473
2020-04-13 00:00:00+00:00,170099,2852,7773
2020-04-14 00:00:00+00:00,172541,2979,8277
2020-04-15 00:00:00+00:00,177644,3105,8835
2020-04-16 00:00:00+00:00,184948,3233,9398
2020-04-17 00:00:00+00:00,190839,3439,9958
2020-04-18 00:00:00+00:00,191726,3621,10548
2020-04-19 00:00:00+00:00,198674,3792,10914
